id,lat,long
1,34.6669048811,135.0491446255
2,34.6622903934,135.0416046022
3,34.6565390693,135.0462262910
4,34.6547851790,135.0543023349
5,34.6559805719,135.0552552605
6,34.6586358504,135.0552552605
